,0
minimum_Number,233.34018973922215
maximum_Number,111.78427466635561
range_Number,1.0230964481200686
mean_Number,194.42035008774585
avg_dev_Number,9.865691486730752
mode_Number,106.68864914063846
minimum_MendeleevNumber,541.224116367768
maximum_MendeleevNumber,279.62317090394515
range_MendeleevNumber,858.0845860995165
mean_MendeleevNumber,38.2256671650666
avg_dev_MendeleevNumber,913.4039616365401
mode_MendeleevNumber,16.866851608409732
minimum_AtomicWeight,225.04629551209015
maximum_AtomicWeight,111.63696967443022
range_AtomicWeight,0.03922835262872269
mean_AtomicWeight,189.22743162131138
avg_dev_AtomicWeight,3.5601943848131805
mode_AtomicWeight,103.35940903128781
minimum_Column,137.9866764384693
maximum_Column,115.53940278897103
range_Column,306.3246109303785
mean_Column,0.9041416892911873
avg_dev_Column,318.57544862788956
mode_Column,0.09156597787223349
minimum_Row,206.57782565988032
maximum_Row,103.82561745563797
range_Row,32.060489492837355
mean_Row,180.2587995541944
avg_dev_Row,50.31604432888616
mode_Row,89.12803553329994
minimum_group,137.9866764384693
maximum_group,115.53940278897103
range_group,306.3246109303785
mean_group,0.9041416892911873
avg_dev_group,318.57544862788956
mode_group,0.09156597787223349
minimum_block,473.4301912095378
maximum_block,256.42524487537685
range_block,149.95046323923225
mean_block,580.1261666270805
avg_dev_block,67.29484628228806
mode_block,341.32905552867896
minimum_CovalentRadius,177.35894542254619
maximum_CovalentRadius,524.148854311652
range_CovalentRadius,33.14556077536687
mean_CovalentRadius,354.9038060227343
avg_dev_CovalentRadius,35.89000124403481
mode_CovalentRadius,104.0329837212722
minimum_NsValence,202.9575403918669
maximum_NsValence,0.028085920192971535
range_NsValence,204.48869440090039
mean_NsValence,110.25222707464832
avg_dev_NsValence,180.16941620384543
mode_NsValence,36.198151876737235
minimum_NpValence,5.492819161836452
maximum_NpValence,302.4896164326029
range_NpValence,286.5906445105579
mean_NpValence,281.83065185576703
avg_dev_NpValence,246.9288411117565
mode_NpValence,164.8484791373731
minimum_NdValence,8.218820879740147
maximum_NdValence,463.4956409713037
range_NdValence,347.2670138174353
mean_NdValence,189.07959778224026
avg_dev_NdValence,316.83575982814875
mode_NdValence,49.41290247738003
minimum_NfValence,0.07478753326904311
maximum_NfValence,0.03856008415572663
range_NfValence,0.015089559380067601
mean_NfValence,0.5325726118573186
avg_dev_NfValence,1.5039946172732017
mode_NfValence,0.00024198369282810297
minimum_NValence,0.06293284568610963
maximum_NValence,250.76617011958274
range_NValence,270.1480088631281
mean_NValence,141.20200853827933
avg_dev_NValence,194.7018832396304
mode_NValence,57.8524555303639
minimum_NsUnfilled,0.06460037760132849
maximum_NsUnfilled,146.12579654660112
range_NsUnfilled,148.36971105716492
mean_NsUnfilled,78.32958269760967
avg_dev_NsUnfilled,126.24025418897756
mode_NsUnfilled,3.1776441711222834
minimum_NpUnfilled,29.30697868525923
maximum_NpUnfilled,143.81640748984967
range_NpUnfilled,109.14686619612935
mean_NpUnfilled,239.40781689495952
avg_dev_NpUnfilled,177.36575191799784
mode_NpUnfilled,77.14186082892385
minimum_NdUnfilled,313.7694469493022
maximum_NdUnfilled,825.3487714094554
range_NdUnfilled,604.9727268071831
mean_NdUnfilled,1130.7498731043686
avg_dev_NdUnfilled,630.3044539249832
mode_NdUnfilled,402.69745294256757
minimum_NfUnfilled,8.235264398838037
maximum_NfUnfilled,48.9883705904715
range_NfUnfilled,44.02541909539439
mean_NfUnfilled,100.02073765706622
avg_dev_NfUnfilled,69.48877884928514
mode_NfUnfilled,75.16356570025468
minimum_NUnfilled,1550.1991326562813
maximum_NUnfilled,160.46317414117797
range_NUnfilled,6.675555336322008
mean_NUnfilled,824.7446626843462
avg_dev_NUnfilled,9.44690964403519
mode_NUnfilled,576.9339031009156
minimum_MeltingT,1926.1695964319617
maximum_MeltingT,2974.596520961842
range_MeltingT,286.1158155138374
mean_MeltingT,3832.1835135859856
avg_dev_MeltingT,457.37509543724093
mode_MeltingT,1748.4500840960236
minimum_Electronegativity,810.1951184451851
maximum_Electronegativity,13.135776569963193
range_Electronegativity,267.7164616341193
mean_Electronegativity,22.361753387492158
avg_dev_Electronegativity,236.38255688731047
mode_Electronegativity,6.360680836576113
minimum_GSvolume_pa,1157.1292732506665
maximum_GSvolume_pa,1408.4511201775863
range_GSvolume_pa,617.2436627136194
mean_GSvolume_pa,2705.8104083950216
avg_dev_GSvolume_pa,732.6656410015993
mode_GSvolume_pa,1181.970729209051
minimum_GSbandgap,99.04294925401335
maximum_GSbandgap,70.38457394297097
range_GSbandgap,50.265416862303724
mean_GSbandgap,32.24435618647875
avg_dev_GSbandgap,53.57063591625132
mode_GSbandgap,6.101020485367336
minimum_GSmagmom,20.432229745082182
maximum_GSmagmom,277.9981903414389
range_GSmagmom,264.5415885723848
mean_GSmagmom,318.9828866039846
avg_dev_GSmagmom,301.94108599831867
mode_GSmagmom,173.5586491216876
minimum_SpaceGroupNumber,286.43545193235553
maximum_SpaceGroupNumber,34.67335759232127
range_SpaceGroupNumber,229.55814303938644
mean_SpaceGroupNumber,267.35818919476503
avg_dev_SpaceGroupNumber,191.11002062620088
mode_SpaceGroupNumber,207.86265661335713
minimum_heat_fusion,932.7429903698111
maximum_heat_fusion,1843.681196940087
range_heat_fusion,716.2094461960687
mean_heat_fusion,2350.511112833611
avg_dev_heat_fusion,974.1127643920356
mode_heat_fusion,1666.1557118354124
minimum_boiling_point,1299.1509680608108
maximum_boiling_point,2278.116825767806
range_boiling_point,21.55830978325907
mean_boiling_point,2469.919047124673
avg_dev_boiling_point,77.71895350540608
mode_boiling_point,1238.728647927013
minimum_first_ioniz,678.6508105611675
maximum_first_ioniz,18.81569517528197
range_first_ioniz,181.8744403233726
mean_first_ioniz,0.00673193736240324
avg_dev_first_ioniz,142.8914747202825
mode_first_ioniz,3.583215313883448
minimum_thermal_conductivity,262.30359830872936
maximum_thermal_conductivity,68.39227227602045
range_thermal_conductivity,179.85966008388127
mean_thermal_conductivity,4.374668336990844
avg_dev_thermal_conductivity,183.4517500158413
mode_thermal_conductivity,28.894625426348036
F0,5557.501886601977
F1,5580.561856693466
F2,5535.863298730136
F3,5314.993584524066
F4,5722.90585356666
F5,5139.7751597698025
F6,1036.9856539811353
F7,1048.547092239817
F8,914.8485996794788
F9,1069.940387698734
F10,965.5966809367164
F11,1015.5949529641945
F12,71.96003457799262
F13,75.4011811832586
F14,51.73556492231958
F15,80.03316911172583
F16,49.11476318951733
F17,54.93883507050357
F18,815.6981301052472
F19,813.5130596002041
F20,667.6474070407876
F21,803.3634390800544
F22,674.9784608642349
F23,681.0507263603856
crystal_system,3.6849283110263413
spacegroup,4.58395743802386
pointgroup,3.912670043864842
laue,4.14919174494033
enantiomorphic,3.0974971086759324
polar,2.7267450562689195
energy_per_atom,6222.940608857555
formation_energy_per_atom,3.4827063231016835
e_above_hull,2.0675113292070666
band_gap,110.19227316199418
density,741.3486398408869
total_magnetization,4.421679149611721
vpa,3943.1793963304885
0-norm,87.66874971764577
2-norm,39.15925024393151
3-norm,28.904270190168305
5-norm,20.711825958388626
7-norm,17.707248237263972
10-norm,15.854339577629407
